batsman,match_date,match_type,runs_batsman,balls_faced,boundary_4,boundary_6,strike_rate,batting_points
RG Sharma,2017-06-18,ODI,0,3,0,0,0.0,0
RG Sharma,2018-04-07,T20,15,19,1,1,78.94736842105263,18
RG Sharma,2018-04-12,T20,11,10,1,1,110.00000000000001,14
RG Sharma,2018-04-14,T20,18,16,2,0,112.5,20
RG Sharma,2018-04-17,T20,94,54,10,5,174.07407407407408,122
RG Sharma,2018-04-22,T20,0,1,0,0,0.0,0
RG Sharma,2018-04-24,T20,2,6,0,0,33.33333333333333,2
RG Sharma,2018-04-28,T20,56,35,6,2,160.0,74
RG Sharma,2018-05-01,T20,0,1,0,0,0.0,0
RG Sharma,2018-05-04,T20,24,15,1,2,160.0,29
RG Sharma,2018-05-06,T20,11,11,1,0,100.0,12
RG Sharma,2018-05-09,T20,36,32,2,1,112.5,40
RG Sharma,2018-05-13,T20,0,1,0,0,0.0,0
RG Sharma,2018-05-16,T20,6,10,0,0,60.0,4
RG Sharma,2018-05-20,T20,13,12,1,0,108.33333333333333,14
RG Sharma,2019-03-05,ODI,0,6,0,0,0.0,0
RG Sharma,2019-03-08,ODI,14,14,2,1,100.0,18
RG Sharma,2019-03-10,ODI,95,92,7,2,103.26086956521738,110
RG Sharma,2019-03-13,ODI,56,90,4,0,62.22222222222222,64
RG Sharma,2019-03-24,T20,14,13,2,0,107.6923076923077,16
RG Sharma,2019-03-28,T20,48,33,8,1,145.45454545454547,58
RG Sharma,2019-03-30,T20,32,18,5,0,177.77777777777777,37
RG Sharma,2019-04-03,T20,13,19,1,0,68.42105263157895,12
RG Sharma,2019-04-06,T20,11,14,0,1,78.57142857142857,13
RG Sharma,2019-04-13,T20,47,32,6,1,146.875,55
RG Sharma,2019-04-15,T20,28,20,2,2,140.0,34
RG Sharma,2019-04-18,T20,30,22,3,1,136.36363636363635,35
RG Sharma,2019-04-20,T20,5,7,1,0,71.42857142857143,6
RG Sharma,2019-04-26,T20,67,48,6,3,139.58333333333331,87
RG Sharma,2019-04-28,T20,12,9,3,0,133.33333333333331,15
RG Sharma,2019-05-05,T20,55,49,8,0,112.24489795918366,71
RG Sharma,2019-05-07,T20,4,2,1,0,200.0,5
RG Sharma,2019-05-12,T20,15,14,1,1,107.14285714285714,18
RG Sharma,2019-06-05,ODI,122,146,13,2,83.56164383561644,151
RG Sharma,2019-06-09,ODI,57,70,3,1,81.42857142857143,66
RG Sharma,2019-06-16,ODI,140,115,14,3,121.73913043478262,172
RG Sharma,2019-06-22,ODI,1,10,0,0,10.0,-5
RG Sharma,2019-06-27,ODI,18,24,1,1,75.0,21
RG Sharma,2019-06-30,ODI,102,111,15,0,91.8918918918919,129
RG Sharma,2019-07-02,ODI,104,94,7,5,110.63829787234043,133
RG Sharma,2019-07-06,ODI,103,95,14,2,108.42105263157895,133
RG Sharma,2019-07-09,ODI,1,4,0,0,25.0,1
RG Sharma,2019-08-03,T20,24,25,2,2,96.0,30
RG Sharma,2019-08-04,T20,67,56,6,3,119.64285714285714,87
RG Sharma,2019-08-11,ODI,18,34,2,0,52.94117647058824,18
RG Sharma,2019-08-14,ODI,10,6,2,0,166.66666666666669,12
RG Sharma,2019-09-18,T20,12,14,0,2,85.71428571428571,16
RG Sharma,2019-09-22,T20,9,8,2,0,112.5,11
RG Sharma,2019-11-03,T20,9,5,2,0,180.0,11
RG Sharma,2019-11-07,T20,85,45,6,6,188.88888888888889,111
RG Sharma,2019-11-10,T20,2,6,0,0,33.33333333333333,2
RG Sharma,2019-12-06,T20,8,10,1,0,80.0,9
RG Sharma,2019-12-08,T20,15,19,2,0,78.94736842105263,17
RG Sharma,2019-12-11,T20,71,35,6,5,202.85714285714283,95
RG Sharma,2019-12-15,ODI,36,57,6,0,63.1578947368421,42
RG Sharma,2019-12-18,ODI,159,141,17,5,112.7659574468085,198
RG Sharma,2019-12-22,ODI,63,63,8,1,100.0,77
